Tablo 1
;;;;;;;;;;;;;;
ATM Term ID;ATM Adı;model;Nakit Merkezi;Planlı Hizmet Günleri;Zone;KM;PLANLI ATM NAKİT İKMAL;PLANLI FLM;SLM;PLANLI ATM MADENİ İKMAL;PLANLI ATM PARA TOPLAMA;PLANLI ATM PARA TOPLAMA + İKMAL;PLANLI ATM PARA TOPLAMA + FLM;
FD037;34 BAHCELIEVLER AHMET YESEVI CAD.;I37DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD281;34 UMRANIYE SERIFALI MH. PO;H68V-824;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC812;07 KEPEZ TEOMANPASA;H68V-824;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD198;27 SAHINBEY KARATAS MH.;I37DC0C;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD273;02 MERKEZ MOBIL ATM;I47DC0C;ŞANLIURFA;PAZARTESİ - ÇARŞAMBA - CUMA;4;111;4.578,02 ;4.578,02 ;5.079,60 ;4.578,02 ;4.578,02 ;4.578,02 ;4.578,02 ;
FD313;09 SOKE SANAYI SITESI;H68V-824;AYDIN;PAZARTESİ - ÇARŞAMBA - CUMA;2;47;2.285,54 ;2.285,54 ;2.787,12 ;2.285,54 ;2.285,54 ;2.285,54 ;2.285,54 ;
FN029;07 M.PASA LARA MERKEZ;H68N-806;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD175;52 KUMRU SAMUR MH.;I37DC0C;ORDU;SALI - PERŞEMBE;3;77;3.360,14 ;3.360,14 ;3.861,72 ;3.360,14 ;3.360,14 ;3.360,14 ;3.360,14 ;
FD084;16 NILUFER OMSAN LOJISTIK;I47DC0C;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD344;34 FATIH IBB LALELI MESIHPASA 2;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
